domain_intent,sentence
$$Weather,西雅圖 天氣
$$Weather,台中 有 下雨 嗎
$$Weather,明天 氣溫 幾度
$$Weather,今天 花蓮 的 天氣 如何
$$Weather,新店 明天 溫度
$$Weather,你 覺得 今天 天氣 如何
$$Weather,新店 會 下雨 嗎
$$Weather,週末 新竹 會不會 下雨
$$Weather,下午 會不會 下雨
$$Weather,今天 台北 天氣 如何
$$Weather,明天 天氣 好嗎
$$Other,請問 最近有 什麼 好看的 電影
$$Other,台中 到 中壢 要 多久
$$Other,現在的時間 是 幾點幾分
$$Other,國道 一號 塞車 路況
$$Other,一千 台幣 換 美金
$$Other,東港 到 高樹
$$Other,永康 交流道 會 塞車 嗎
$$Other,股市行情 於
$$Other,股票 會漲 嗎
$$Other,今天 股市 漲 或 跌
$$Other,台南市 國賓影城 怎麼去
$$Other,seven 股票 自選 股票 的 纖毛
$$Other,宸鴻 光電 股價
$$Other,現在 黃金 一兩 多少錢