label,sentence
$$Weather,明天 氣溫 幾度
$$Other,我想要買 聚陽
$$Weather,新店 五一 勞動節 的 天氣 適合 出去玩 嗎
$$Weather,明天 下午 宜蘭 的 降雨 機率 有多少
$$Other,我想要查 南台灣 的 旅遊景點
$$Other,台中 哪裡有 ibike 的 站
$$Other,台南市 平通路 附近有 醫院 嗎
$$Weather,外面 雨 會 下 多久
$$Weather,明天 天氣 適合 穿 什麼 衣服 出門
$$Weather,請問 今天天氣 幾度
$$Weather,今天 新店 出太陽 嗎
$$Weather,未來 一周 新店 的 天氣
$$Weather,晚上 會 停 雨 嗎
$$Other,想要 問 明 報 社會新聞 裡 有 柯文哲 嗎
$$Other,九月 三十 晚上 兩點 十六分 桃園站 發 車 到 左營站 標準 來回 高鐵 票
$$Other,我想 帶小孩 去 威秀 看 普遍 級 電影 求 推薦
$$Other,搞 錯了
$$Weather,明天 會 很熱 嗎
$$Other,有 推薦 那些 橡膠 股 嗎
$$Other,最近 期貨 狀況 如何
$$Weather,晚上 會 下大雨 嗎
$$Weather,晚點 下雨 騎車 會不會 很 危險
$$Weather,今天 大概 幾度
$$Weather,後天 東京 是否會 下雪
$$Other,我要知道 聚陽 會 漲價 嗎
$$Weather,颱風 預測 幾 號 會 離開 台灣
$$Weather,這 周末 適合 曬棉被 嗎
$$Weather,台北 很熱 嗎
$$Other,劍潭站 至 木柵 捷運站 要 很久 嗎
$$Other,我想查詢 大盤 股價
$$Other,幫我找 先進 光 歷史 股價
$$Weather,今晚 會不會 開始 颳 風
$$Weather,現在 台北 的 紫外線 指數 如何
$$Weather,查詢 現在 的 紫外線 指數
$$Weather,明天 空氣 如何
$$Weather,下午 會 變天 嗎
$$Weather,明天 是 陰天 還是 晴天
$$Weather,明天 是否會 下雨
$$Weather,明天 的 天氣 適 不適合 去 大安森林公園 野餐
$$Other,我想要問 嘉義縣 民族東路 那裡有 什麼地方 好 去
$$Weather,今天 台中 最 冷 幾度
$$Weather,台北 有 在下 雨 嗎
$$Other,台中市 三元路 怎麼走
$$Weather,下禮拜 台北 會不會下雨
$$Weather,明天 天氣 幾度
$$Weather,最近有 沒有 颱風
$$Other,我要找 高雄 美濃 影城 的地圖
$$Other,現在是 在哪 啊
$$Weather,內湖區 明天 會 下雨 嗎
$$Weather,什麼時候 會 放晴 阿
$$Weather,上 一週 桃園 都 在下 雨 嗎
$$Weather,淡水 明天 降雨 機率 多少
$$Weather,今天 的 體感溫度
$$Other,請問 台灣 期貨 指數 今天 漲 多少 了
$$Weather,周末 的 降雨 機率
$$Weather,這週 的 天氣
$$Weather,我需要 先 收 衣服 嗎
$$Weather,這幾天 天氣 怎麼樣
$$Weather,告訴我 今天 的 氣溫 變化
$$Weather,晚上 出門 要不要 帶外套
$$Weather,雨 要 下 到什麼 時候 才會 停
$$Weather,明天 要穿 長袖 還是 短 袖
$$Other,金門縣 好吃的 店 在哪
$$Other,橡膠 股 的 技術 分析
$$Weather,基隆 現在是 冷 還是 熱
$$Other,幫我查 跌停板 股票
$$Other,上櫃股票 分析
$$Other,請幫我查 下午 新上映的 那部 電影
$$Other,請幫我找 安樂 端 那裡有 什麼地方 可以去的
$$Other,國賓戲院 現在有 哪些 片子
$$Weather,這週 末 是 晴天 嗎
$$Weather,下禮拜 有 颱風 要來 嗎
$$Other,時代戲院 有哪些 電影
$$Weather,我想知道 台北市 一週 的 天氣
$$Weather,這次 颱風 的 強度
$$Other,十月 一日 早上 有 推荐 可 看 的 片子 嗎
$$Other,我要找 花 宵 道中 的 演員
$$Other,中興電影城 剛 上 了 哪部 片
$$Other,推薦 一下 北台灣 附近的 平價 串燒
$$Other,怎麼說
$$Weather,今天 陽明山 上 是不是 下雨
$$Other,你知道 彰化鹿港 怎麼去 嗎
$$Weather,下禮拜 會 下雨 嗎
$$Weather,連 假的 天氣 適合 出去玩 嗎
$$Other,西屯 三 往 水上 交流道 路況 好嗎
$$Weather,太陽 會不會 很大
$$Weather,下禮拜 開始 會不會 變得 很 潮濕
$$Weather,明天 適 不適合 出門
$$Weather,星期幾 開始 會 放晴
$$Weather,明天 冷不冷
$$Other,怎麼樣 設定 自 選 股票
$$Weather,明天 氣溫 大概 幾度
$$Weather,端午節 台北 會 下雨 嗎
$$Weather,明天 早上 台北 會不會很熱
$$Other,請幫我找 台南市 新化區 大智路 哪裡有 比較好 的 醫院
$$Other,幫我查 新竹縣 的 電影院
$$Weather,下週 是不是 都不會 下雨
$$Weather,首爾 現在 的 體感溫度 多少
$$Weather,新莊區 現在 的 天氣 如何
$$Other,我想查 即時 黃金價格
$$Weather,週末 要去 陽明山 玩 ， 那邊 天氣 好嗎
$$Weather,新店 雨 停了 沒有
$$Weather,下週 汐止區 的 每日 下雨 機率 是
$$Weather,後天 基隆 的 天氣 好不好
$$Weather,明天 要 帶外套 嗎
$$Weather,明天 下午 會 下雨 嗎
$$Weather,今天 要 擦 防曬 嗎
$$Weather,明天 新竹 的 天氣 如何
$$Weather,今天 適合 洗衣服 嗎
$$Weather,明天 是 幾度 到 幾度
$$Weather,明天 台中 下雨 的 機率 有多少
$$Weather,未來 一周 需要 防曬 嗎
$$Other,貿易 股 最近好嗎
$$Weather,下雨 機率 多少
$$Other,幫我查詢 愛 普 會不會 漲
$$Weather,等一下 需要 帶 口罩 出門 嗎
$$Weather,周末 武陵農場 會不會下雨 ， 晚上 可以 觀星 嗎
$$Other,幫我找 神奇寶貝 電影 第 十七 部 的 預告片
$$Other,連江 哪裡 可以 還 you bike
$$Other,我可以 去哪 看 蘇富比 偽 畫 大師
$$Weather,今天 要 帶外套 嗎
$$Weather,等下 出門 會 下雨 嗎
$$Other,我想要查詢 上市 指數
$$Weather,你覺得 今天 應該 穿 什麼
$$Other,請幫我查 這個月 的 二十六號 佳佳戲院 播的 那個 輔導 級 影片
$$Weather,晚上 時候 南港 會 下雨 嗎
$$Weather,明天 桃園 最高 溫 幾度
$$Weather,今天 的 降雨 機率 有多少
$$Weather,信義區 天氣 如何
$$Other,鑽 全 加入 自訂 的 股票
$$Weather,明天 最 熱 會到 幾度
$$Weather,今天 很冷 嗎
$$Weather,今天 要穿 外套 嗎
$$Weather,雨 會 下 到 何時
$$Weather,下週 會有 寒流 來 嗎
$$Other,台幣 換 日幣 現在 的 匯率 是 多少
$$Weather,什麼時候 太陽 會 出來
$$Other,上櫃股票 大盤 走勢 圖
$$Weather,那時 會 變冷
$$Weather,明天 的 天氣
$$Other,設定 我的 股票
$$Weather,明天 會 比 今天 冷嗎
$$Other,我想查 二十 點 四十四 分 抵達 新竹站 的 全票
$$Weather,明天 熱不熱
$$Other,我要查 可不可以 買 新保
$$Weather,明天 降雨 機率 是 多少
$$Other,現在 的 汽油 價格
$$Other,我是 在 什麼地方
$$Weather,天氣 如何
$$Weather,台南 的 天氣 好嗎
$$Weather,晚上 幾度
$$Other,幫我查 北投 醫院 在哪
$$Other,我要找 即 期 瑞士 法郎
$$Weather,晚上 會 降溫 嗎
$$Other,這裡是哪邊
$$Weather,早上 會不會下雨
$$Other,獅子 去 東山服務區 的 路線
$$Weather,有 颱風 來 長庚 嗎
$$Other,請幫我查 東部 哪裡有 好玩的
$$Weather,會 冷嗎
$$Other,京站威秀 電影 總 覽
$$Other,台積電 還會 上漲 嗎
$$Other,幫 我 導航 到 西湖 服務區
$$Other,電腦 股 預測
$$Weather,這 周末 台北 會不會下雨
$$Other,請幫我查 八月 二十五 凌晨 出發 台北 到 左營 的 標準 車廂 還有 位置 嗎
$$Weather,高雄 一週 降雨 機率
$$Weather,台中 的 空氣 又 紫 爆了 啊
$$Other,台北市 有名的 包子 有哪些
$$Other,良 得 電 歷史 行情
$$Other,中壢 到 木柵 一直在 塞車
$$Other,幫我算 陰 曆 十一月 二十六 日 等於 國曆 哪一天
$$Other,四月 十三 日是 星期幾
$$Weather,現在 台北 的 雨勢 如何
$$Other,告訴我 今天 的 期貨 指數
$$Weather,今天 有 鋒面 報到 嗎
$$Weather,為什麼 最近 每天 下午 都 在下 大雨
$$Weather,今天 需要 開 冷氣 嗎
$$Weather,今天晚上 桃園地區 會不會 降溫
$$Other,從 民雄 交流道 到 壯圍 怎 走
$$Weather,今天 的 輻射 量 高 嗎
$$Other,安南 去 花蓮 要怎麼走
$$Weather,下禮拜 台北 會不會冷
$$Weather,今天 的 下雨 機率 不是 零 嗎
$$Other,不是這樣
$$Weather,颱風 什麼時候 離開
$$Other,我想查 七月 十二 傍晚 雙子星 有沒有 上 適合 家庭 一起看 的 電影
$$Weather,請問 今天天氣
$$Weather,下 周 一 幾度
$$Weather,今天 最高 溫 是 幾度
$$Weather,今天 台北 幾度
$$Other,一萬 美金 可 買 多少 黃金
$$Weather,什麼時候 會 下雨
$$Other,古亭捷運站 能 直達 機 捷 三重站 嗎
$$Weather,新店 天氣 如何
$$Weather,外面 有 打雷 嗎
$$Other,有 推薦 的 上櫃股票 嗎
$$Weather,明天 會 冷嗎
$$Weather,今天 新店 天氣 怎樣
$$Other,國道 三甲 現在有 塞車 嗎
$$Weather,南港 有 下雨 嗎
$$Weather,未來 幾天 有 寒流 要來 嗎
$$Weather,今天 去 兒童樂園 玩 要 做 防曬 嗎
$$Weather,幾點 日出日落
$$Other,恩 得利 可以買 嗎
$$Weather,天 啊 這 太陽 到底要 熱 到 多 誇張 才 肯 罷休
$$Weather,現在 台灣 附近有 幾個 颱風
$$Other,新北市 泰山區 戲院 怎麼去
$$Other,台南 的 電影院 最近有 上 動畫片 嗎
$$Other,幫我查 印尼 盾 的 匯率
$$Other,分析 一下 昨天 台股 大盤
$$Other,怎麼 設定 我的 股票
$$Weather,高雄 晚上 會不會很冷
$$Weather,今天 的 最低 溫 是 多少
$$Other,給我看 宜蘭 大戲院 的位置
$$Other,幫 我 搜尋 樂透 號碼
$$Other,台股 成交價 走向
$$Other,我想要買 台股
$$Other,我想要問 台中市 中新街 怎麼去 比較 順
$$Other,我想知道 鴻海 今年 的 走勢
$$Other,十七 點 零 九分 威秀 播 了 哪部 輔導 級 電影
$$Weather,明天 早上 的 降雨 機率
$$Weather,臺 北 明天 是 晴天 嗎
$$Weather,颱風 會 進來 嗎
$$Weather,後天 計劃 要去 爬 玉山 ， 氣溫 最低 溫 是 幾度
$$Weather,今天 需要 穿 厚 外套 嗎
$$Weather,今天 會 出太陽 嗎
$$Weather,天 啊 現在 下雨 了 ， 下午 會 出太陽 嗎
$$Other,我想要查 雙連 捷運站 到 捷運 西湖站 多少錢
$$Weather,今天 文山區 會不會下雨
$$Weather,明天 降雨 機率 高 嗎
$$Other,何處 可 借 you bike
$$Other,股票 型 基金
$$Weather,今天 新竹 天氣 如何
$$Weather,那邊 天氣狀況 如何
$$Weather,天氣
$$Other,我想要 有啥 新 院 線 電影
$$Weather,十二月 的 東京 要穿 什麼 衣服
$$Weather,那裡 的 天氣 需要 穿 短褲 / 外套 嗎
$$Other,北二高 現在 北上 會 塞車 嗎
$$Weather,明天 冷 還 熱
$$Other,我想 從 南桃園 交流道 開往 台北 要怎麼走
$$Weather,星期幾 會 開始 變冷
$$Weather,現在 新店 有 下雨 嗎
$$Other,你知道 蘇花 縱谷 怎麼去 嗎
$$Weather,這 周 當地 有 哪 幾天 會 下雨
$$Other,五十 三萬 四千 二十 塊 台幣 是 多少 美金
$$Weather,明天 幾點 不會 下雨
$$Other,預約 二月 二十五 日 二十 三點五 十六分 真善美劇院 全面攻佔 倒數 救援 的 雙 人 套票
$$Other,幾點 了
$$Weather,颱風 目前 中心 位置 在哪裡
$$Other,兩點 十七 分開 往 高雄 的 復興號 還有 位置 嗎
$$Weather,下週 東京 天氣 如何
$$Other,錯了
$$Weather,新店 明天 下午 天氣
$$Weather,颱風 什麼時候 來
$$Weather,美濃 山區 今天 會有 局部 雷陣雨 嗎
$$Weather,本 周 的 天氣
$$Other,帶 我 到 富都 3D 影城
$$Weather,明天 早上 溫度 如何
$$Weather,外面 風 大 不大
$$Weather,台南 今天天氣 如何
$$Weather,台北 天氣 如何
$$Weather,一周 天氣
$$Weather,大陸 很冷 嗎
$$Weather,今天 台北市 有 下雨 嗎
$$Weather,明天 中午 幾度
$$Other,您好
$$Weather,我家 天氣
$$Weather,今天 什麼 天氣
$$Weather,梅雨 季 什麼時候 結束
$$Other,新北市 明志路二段 幫我找 附近 最夯的 景點
$$Weather,台北 現在有 下雨 嗎
$$Other,幫我問 3507 有 跌 嗎
$$Weather,今天 溫度 最高 跟 最低 會到 多少
$$Other,就說 錯了
$$Weather,下午 四點 還會 繼續 下雨 嗎
$$Weather,陽明山 下午 會不會 放晴
$$Other,我想問 F - 金麗 會 跌 嗎
$$Weather,今天下午 高雄 的 空氣品質 如何
$$Weather,告訴我 未來 一週 的 天氣
$$Weather,這週 天氣 會不會 突然 變冷
$$Weather,會 冷 到什麼 時候
$$Weather,明天 氣象
$$Weather,東港 到 小琉球 的 海浪 大 不大
$$Weather,明天 桃園 下雨 的 機率 多少
$$Other,要怎麼去 泰安溫泉
$$Other,十四 點 二十九 分 國賓戲院 有放 一支 輔導 級 的 電影
$$Weather,現在 外面 的 紫外線 指數 是 多少
$$Weather,今晚 七點 台北 中山區 會 下雨 嗎
$$Other,推薦 一下 最近的 熱門 電影
$$Other,要 講 什麼
$$Weather,外面 會 冷嗎
$$Other,請幫我找 竹田 端 北上 路況
$$Other,幫我查 十月 即將 上映 的 電影 有哪些
$$Weather,明天 早上 會 下雨 嗎
$$Other,我要查 哪裡 能 還 you bike
$$Weather,墾丁 的 太陽大嗎
$$Other,今天 傍晚 有什麼 熱門 電影 可以看 嗎
$$Weather,星期六 桃園 的 天氣 如何
$$Weather,一週 天氣
$$Other,神的病歷簿 是什麼 類型 的 電影
$$Weather,颱風 到哪裡 了
$$Other,是要 八點 十二分 信義威秀 一代宗師 的 票 嗎
$$Other,掰掰
$$Weather,今天 很熱 嗎
$$Weather,明天 需要 穿外套 嗎
$$Weather,我要 穿短袖 還 長袖
$$Other,開 Ettoday 新聞雲 柯文哲 的 頭 條 給我
$$Weather,明天 早上 上班 要不要 帶傘
$$Other,快 告訴我 時間
$$Weather,現在 紫外線 指數 是什麼 顏色
$$Weather,台北 一周 的 天氣預報
$$Other,查 股市 基金
$$Other,不知道 哪 能看到 有你 生命 最 完整 這片
$$Weather,今天 坪林 有沒有 下雨
$$Weather,空氣 指數 如何
$$Other,盤價 怎麼樣
$$Weather,明天 早晚 溫差大 嗎
$$Other,一萬 台幣 等於 多少 韓 元 啊
$$Weather,宜蘭 後天 會 冷嗎
$$Weather,你 最喜歡 什麼 天氣
$$Weather,台北 今天晚上 氣溫 冷不冷
$$Weather,今天 台北 的 體感溫度 幾度
$$Weather,今天 空 汙 指數 高 嗎
$$Other,我要找 跌停板 股 盤
$$Weather,需要 多 準備 衣服 嗎
$$Weather,今天晚上 需要 開 冷氣 嗎
$$Weather,請問 明天 的 天氣
$$Weather,星期幾 會 變天
$$Weather,今天 出去 會 曬黑 嗎
$$Weather,有沒有 出太陽
$$Other,幫我查 柴油 漲幅
$$Other,我要找 油價 跌 還是 漲
$$Other,我想問 國道 三號 南下 好 開 嗎
$$Weather,下 周 最低 溫度 會 出現 在哪 呢
$$Weather,太平山 在 星期六 的 最低 溫 是 幾度
$$Other,想要 查 機場線 機場 一航 到 唭哩岸 要 換 幾次 車
$$Other,二月 十二號 國賓 有 要 上新 的 鬼片 嗎
$$Weather,今天 去 台北 上班 要 帶雨傘 嗎
$$Other,講 什麼 好 呢
$$Weather,明天 還會 繼續 下雨 嗎
$$Weather,今天 溫度 幾度
$$Weather,這 一週 會有 雨天 嗎
$$Other,幫我查 商業 雜誌 關於 柯文哲 的 報導
$$Weather,明天 出門 要 帶傘 嗎
$$Weather,台北 的 風 大 不大
$$Weather,現在 高雄 的 溫度 是 多少
$$Weather,氣溫 如何
$$Weather,陽明山 現在有 沒有 在下 雨
$$Weather,現在 外面 天氣 怎樣
$$Other,我想要 將 華通 加入 我的 股票
$$Weather,今日 氣溫
$$Other,請幫我找 北門站 到 大坪林站 中間 有多少 站
$$Other,幫 我 把 強生 加 進 我的 股票
$$Weather,周末 陽明山 會 放晴 嗎
$$Weather,風 會很大嗎
$$Weather,現在 冷嗎
$$Weather,逛 夜市 會不會下雨
$$Weather,那邊 天氣狀況 怎樣
$$Other,目前幾點
$$Weather,明天 是 陰天 嗎
$$Weather,台北 今天 會不會下雨
$$Weather,太陽 強度
$$Weather,明天 很熱 嗎
$$Weather,週日 我想去 陽明山 看 雪
$$Weather,三重 明天 早上 的 天氣
$$Weather,今天晚上 會 很冷 嗎
$$Weather,外面 幾度
$$Other,幫我找 今 彩 五三 九 開出 哪 幾 號
$$Weather,零度 有 多 冷
$$Weather,明天 氣溫 多少
$$Other,我要查詢 2436 漲 還是 跌
$$Weather,查詢 颱風 的 最新 動態
$$Other,我要買 高鐵 雲林 到 台南 的 來回票 一張
$$Weather,最近 會不會 有 寒流
$$Other,我要買 台灣 五十
$$Other,你知道 美麗華 會 上 這次 新的 神奇寶貝 電影 第 十七 部 嗎
$$Other,我想查 我的 股票
$$Weather,明天 有需要 帶傘 嗎
$$Weather,今天 的 天氣 好嗎
$$Other,想要 查 海端 導航 到 平鎮 系統 交流道 怎麼去
$$Weather,紫外線 強 嗎
$$Other,哪裡有 播 頭 文字 D
$$Weather,明天 天氣 會 回溫 嗎
$$Weather,南投 這兩天 會不會下雨
$$Weather,這幾天 會不會下雨 呢
$$Other,幫我問 全友 歷史 有 漲 過 嗎
$$Other,新港 交流道 怎麼去
$$Other,今天 在 聯合報 有沒有 柯文哲 的 消息 啊
$$Weather,今天下午 去 武陵農場 要不要 帶傘
$$Weather,明天 台北 會 下雨 嗎
$$Other,我想買 下午 三點 西門國賓 的 神奇寶貝 兩張
$$Weather,這禮拜 哪天 會 出太陽
$$Other,東聲戲院 有放 情色 類 的 電影 嗎
$$Weather,新店 會 下雨 嗎
$$Weather,台中 天氣 好嗎
$$Weather,東區 有 下雨 嗎
$$Weather,台南 會 很熱 嗎
$$Weather,剛剛 的 地震 震央 在哪裡
$$Weather,明天 會不會很熱
$$Other,我想要查 中山高 南下 路況
$$Weather,今天 需要 帶傘 出門 嗎
$$Weather,今天 最高 溫 會是 幾度
$$Other,幫我找 十四 點 金國戲院 放的 那部 保護 級 電影
$$Other,我想問 北台灣 有沒有 像 太魯閣 般 的 狀況 山景
$$Weather,為何 空氣 這麼 糟
$$Weather,外面 很冷 嗎
$$Other,名間 交流道 往 鹿草 好不好 走很遠 嗎
$$Other,四月 二號 早上 九點 南港 到 台南 的 票 一張
$$Weather,下雨 機率 會 多 高
$$Other,花東 地區 我想要找 最好 吃 餐廳
$$Weather,晚上 可以看到 星星 嗎
$$Weather,明天 出門 需 不需要 帶傘
$$Other,明天 十點 二十二 分 東南亞 秀泰 那部 電影 適合 小孩子 看 嗎
$$Weather,要不要 多 穿 一件 阿
$$Weather,外面 還在 下雨 嗎
$$Other,新竹城隍廟 要怎麼去
$$Weather,晚上 睡覺 要穿 多少
$$Weather,體感溫度 幾度
$$Other,嘉義 交流道 南下 一路 行車 順暢
$$Weather,陽明山 週末 的 溫度
$$Weather,今天下午 烏石港 的 海象 適合 衝浪 嗎
$$Weather,今天 台中 熱嗎
$$Other,我想要買 鴻海
$$Weather,今天晚上 降雨 機率 多少
$$Weather,週末 去 山上 要 帶傘 嗎
$$Weather,新店 還有 在下 雨 嗎
$$Other,想要 查 油價 漲 還是 跌
$$Other,幫我問 昨天 清晨 店頭 市場 行情
$$Other,我想查詢 台股 指數 是 多少
$$Weather,明天 清晨 當地 的 氣溫 是 幾度
$$Other,幫我查詢 F - 譜瑞 是 跌 了 嗎
$$Other,南屯 一 交流道 北上 好不好 開
$$Other,幫我查詢 3037
$$Weather,要不要 穿外套
$$Weather,這 周 當地 的 最低 溫 是 幾度
$$Other,集中 市場 指數
$$Weather,最新 的 颱風 消息
$$Weather,新店 熱嗎
$$Weather,今天中午 出門 要 防曬 嗎
$$Weather,林口 冷嗎
$$Other,股市 會不會 大漲
$$Weather,明天 新店 會 下雨 嗎
$$Weather,目前 新莊區 PM2 . 5 多少
$$Other,蘇富比 偽 畫 大師 簡介
$$Weather,我需要 帶傘 出門 嗎
$$Weather,明天 降雨 機率 多少
$$Other,請幫我找 導航 到 屏東縣 後部路
$$Weather,明天 台中 會 下雨 嗎
